2025-05-08 15:25:12,340 - root - INFO - Overwatch Aim Assist started
2025-05-08 15:25:15,492 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.4741583, 'position': {'x': 215, 'y': 44}, 'area': 55.0, 'mouse_position': {'x': 955, 'y': 534}}
2025-05-08 15:25:15,520 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.4741583, 'position': {'x': 38, 'y': 55}, 'area': 54.0, 'mouse_position': {'x': 955, 'y': 534}}
2025-05-08 15:25:15,524 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703515.4741583, 'current_position': {'x': 60, 'y': 139}, 'predicted_position': {'x': 60, 'y': 139}, 'velocity': {'x': 3.82879713448299, 'y': 3.5097307066094072}}
2025-05-08 15:25:15,525 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703515.4741583, 'target_position': {'x': 60, 'y': 139}, 'crosshair_offset': {'x': -68, 'y': 41}, 'target_area': 240.0}
2025-05-08 15:25:15,535 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703515.4741583, 'target_position': {'x': 60, 'y': 139}, 'crosshair_position': {'x': 955, 'y': 534}, 'target_area': 240.0}
2025-05-08 15:25:15,554 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.5405455, 'position': {'x': 96, 'y': 145}, 'area': 230.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,571 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.5405455, 'position': {'x': 72, 'y': 59}, 'area': 63.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,598 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703515.5405455, 'current_position': {'x': 96, 'y': 145}, 'predicted_position': {'x': 97, 'y': 145}, 'velocity': {'x': 11.248134330164953, 'y': 1.8746890550274922}}
2025-05-08 15:25:15,599 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703515.5405455, 'target_position': {'x': 96, 'y': 145}, 'crosshair_offset': {'x': -31, 'y': 47}, 'target_area': 230.0}
2025-05-08 15:25:15,606 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703515.5405455, 'target_position': {'x': 96, 'y': 145}, 'crosshair_position': {'x': 960, 'y': 536}, 'target_area': 230.0}
2025-05-08 15:25:15,618 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.6123998, 'position': {'x': 119, 'y': 152}, 'area': 227.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,621 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703515.6123998, 'current_position': {'x': 119, 'y': 152}, 'predicted_position': {'x': 120, 'y': 152}, 'velocity': {'x': 7.028512584498584, 'y': 2.13911252571696}}
2025-05-08 15:25:15,652 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703515.6123998, 'target_position': {'x': 119, 'y': 152}, 'crosshair_offset': {'x': -8, 'y': 54}, 'target_area': 227.0}
2025-05-08 15:25:15,663 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703515.6123998, 'target_position': {'x': 119, 'y': 152}, 'crosshair_position': {'x': 960, 'y': 536}, 'target_area': 227.0}
2025-05-08 15:25:15,685 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.6731842, 'position': {'x': 190, 'y': 171}, 'area': 160.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,686 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.6731842, 'position': {'x': 194, 'y': 111}, 'area': 126.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,688 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703515.6731842, 'current_position': {'x': 190, 'y': 171}, 'predicted_position': {'x': 193, 'y': 171}, 'velocity': {'x': 21.30104720018689, 'y': 5.700280236669731}}
2025-05-08 15:25:15,689 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703515.6731842, 'target_position': {'x': 190, 'y': 171}, 'crosshair_offset': {'x': 65, 'y': 73}, 'target_area': 160.0}
2025-05-08 15:25:15,822 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703515.6731842, 'target_position': {'x': 190, 'y': 171}, 'crosshair_position': {'x': 960, 'y': 536}, 'target_area': 160.0}
2025-05-08 15:25:15,859 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.845601, 'position': {'x': 192, 'y': 161}, 'area': 156.0, 'mouse_position': {'x': 958, 'y': 536}}
2025-05-08 15:25:15,860 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.845601, 'position': {'x': 192, 'y': 101}, 'area': 127.0, 'mouse_position': {'x': 958, 'y': 536}}
2025-05-08 15:25:15,861 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703515.845601, 'current_position': {'x': 192, 'y': 161}, 'predicted_position': {'x': 192, 'y': 160}, 'velocity': {'x': 0.5705179618859325, 'y': -2.852589809429663}}
2025-05-08 15:25:15,863 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703515.845601, 'target_position': {'x': 192, 'y': 161}, 'crosshair_offset': {'x': 64, 'y': 62}, 'target_area': 156.0}
2025-05-08 15:25:15,869 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703515.845601, 'target_position': {'x': 192, 'y': 161}, 'crosshair_position': {'x': 958, 'y': 536}, 'target_area': 156.0}
2025-05-08 15:25:15,885 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.8768198, 'position': {'x': 160, 'y': 173}, 'area': 175.0, 'mouse_position': {'x': 970, 'y': 544}}
2025-05-08 15:25:15,887 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.8768198, 'position': {'x': 181, 'y': 106}, 'area': 118.5, 'mouse_position': {'x': 970, 'y': 544}}
2025-05-08 15:25:15,890 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703515.8768198, 'current_position': {'x': 160, 'y': 173}, 'predicted_position': {'x': 158, 'y': 173}, 'velocity': {'x': -9.0477135767076, 'y': 3.3928925912653503}}
2025-05-08 15:25:15,892 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703515.8768198, 'target_position': {'x': 160, 'y': 173}, 'crosshair_offset': {'x': 30, 'y': 75}, 'target_area': 175.0}
2025-05-08 15:25:15,899 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703515.8768198, 'target_position': {'x': 160, 'y': 173}, 'crosshair_position': {'x': 970, 'y': 544}, 'target_area': 175.0}
2025-05-08 15:25:15,926 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.9123292, 'position': {'x': 149, 'y': 147}, 'area': 298.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,935 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703515.9123292, 'current_position': {'x': 149, 'y': 147}, 'predicted_position': {'x': 148, 'y': 145}, 'velocity': {'x': -3.0792361639798997, 'y': -7.278194569407035}}
2025-05-08 15:25:15,937 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703515.9123292, 'target_position': {'x': 149, 'y': 147}, 'crosshair_offset': {'x': 20, 'y': 47}, 'target_area': 298.0}
2025-05-08 15:25:15,964 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703515.9123292, 'target_position': {'x': 149, 'y': 147}, 'crosshair_position': {'x': 960, 'y': 536}, 'target_area': 298.0}
2025-05-08 15:25:15,978 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.970184, 'position': {'x': 139, 'y': 105}, 'area': 169.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,980 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.970184, 'position': {'x': 108, 'y': 171}, 'area': 113.5, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,981 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.970184, 'position': {'x': 132, 'y': 17}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,983 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.970184, 'position': {'x': 122, 'y': 17}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,985 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.970184, 'position': {'x': 112, 'y': 17}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,986 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.970184, 'position': {'x': 102, 'y': 17}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,988 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.970184, 'position': {'x': 92, 'y': 17}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,992 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.970184, 'position': {'x': 82, 'y': 17}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,993 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.970184, 'position': {'x': 72, 'y': 17}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,997 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703515.970184, 'position': {'x': 62, 'y': 17}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:15,999 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703515.970184, 'current_position': {'x': 139, 'y': 105}, 'predicted_position': {'x': 138, 'y': 103}, 'velocity': {'x': -2.754692390677704, 'y': -11.569708040846356}}
2025-05-08 15:25:16,004 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703515.970184, 'target_position': {'x': 139, 'y': 105}, 'crosshair_offset': {'x': 10, 'y': 5}, 'target_area': 169.5}
2025-05-08 15:25:16,010 - ResultsManager - INFO - Screenshot saved: {'timestamp': 1746703515.970184, 'target_position': {'x': 139, 'y': 105}, 'crosshair_position': {'x': 960, 'y': 536}, 'target_area': 169.5}
2025-05-08 15:25:16,033 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0163577, 'position': {'x': 63, 'y': 122}, 'area': 289.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,035 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0163577, 'position': {'x': 88, 'y': 11}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,037 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0163577, 'position': {'x': 78, 'y': 11}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,038 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0163577, 'position': {'x': 68, 'y': 11}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,039 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0163577, 'position': {'x': 58, 'y': 11}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,041 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0163577, 'position': {'x': 48, 'y': 11}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,044 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0163577, 'position': {'x': 38, 'y': 11}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,045 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0163577, 'position': {'x': 28, 'y': 11}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,046 - ResultsManager - INFO - Target detection logged: {'timestamp': 1746703516.0163577, 'position': {'x': 18, 'y': 11}, 'area': 55.0, 'mouse_position': {'x': 960, 'y': 536}}
2025-05-08 15:25:16,047 - ResultsManager - INFO - Prediction logged: {'timestamp': 1746703516.0163577, 'current_position': {'x': 63, 'y': 122}, 'predicted_position': {'x': 59, 'y': 122}, 'velocity': {'x': -20.6727176274506, 'y': 4.624160521929739}}
2025-05-08 15:25:16,048 - ResultsManager - INFO - Shot logged: {'timestamp': 1746703516.0163577, 'target_position': {'x': 63, 'y': 122}, 'crosshair_offset': {'x': -69, 'y': 24}, 'target_area': 289.0}
